Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,III,Paradoxurus hermaphroditus,Mammalia,Carnivora,Viverridae,Paradoxurus,OM,TH,,,8,live,,T,C
2018,III,Paradoxurus hermaphroditus,Mammalia,Carnivora,Viverridae,Paradoxurus,OM,TH,,8,,live,,T,W
