Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,III,Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,Choloepus,US,GB,XX,,1,bodies,,T,O
2018,III,Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,Choloepus,US,PA,,2,,live,,Z,W
