Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,III,Dasyprocta punctata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,MX,US,MX,,1,trophies,,P,W
2018,III,Dasyprocta punctata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,US,MX,,15,,trophies,,P,W
