Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Gazella cuvieri,Mammalia,Artiodactyla,Bovidae,Gazella,ES,TN,,,12,specimens,,S,C
2018,III,Gazella dorcas,Mammalia,Artiodactyla,Bovidae,Gazella,US,TN,,1,,horn carvings,,P,I
