genus,name,family,yellow fever virus,SARS,H5N1,HCPS,HFRS,South American hemorrhagic fever arenaviruses,Rift Valley fever virus,Marburg virus,Lassa fever virus,Ebola viruses,Crimean-Congo hemorrhagic fever virus,Tick-borne encephalitis virus complex,Venezuelan equine encephalitis virus,Rabies viruses,Nipah virus,Cercopithecine herpesvirus-1 ,Lymphocytic choriomeningitis virus
Odocoileus,Deer,Cervidae,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Otocolobus,Pallas cat ,Felidae,0,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0
Ovis,Sheep,Bovidae,0,0,0,0,0,0,2,0,0,1,2,2,1,2,0,0,0
Pan,Chimpanzee,Hominidae,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1
Panthera,Great cats,Felidae,0,1,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0
Papio,Baboon,Cercopithecidae,1,0,1,0,0,0,0,2,0,2,0,0,0,1,0,2,0
Paradoxurus,Palm civet,Viverridae,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Pongo,orangutan,Hominidae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Potamochoerus,afican bush pig,Suidae,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0
Potos,kinkajou,Procyonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prionailurus,feline,Felidae,0,2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Pteronura,otter,Mustelidae,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pteropus,bat,Pteropodidae,0,1,0,0,0,0,1,1,0,1,0,1,0,2,2,0,0
Puma,feline,Felidae,0,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0
Pygathrix,langur,Cerconpithecidae,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Saguinus,tamarin,Cebidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Speothos,canine,Canidae ,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0
Tamandua,anteater,Myrmecophagidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachypithecus,monkey,Cercophithecidae,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Tupaia,tree shrew,Tupaiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursus,bear,Ursidae,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Vulpes,fox,Canidae ,0,2,1,0,0,0,1,0,0,0,2,0,1,2,1,0,0
